,date,time,eps,Lz,L,W,tLow,c,E,dim,lyap,std,g,reals,runtime
57,2022-03-10,10:09:08.755418,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.29497805968571855,0.0034608839435225952,0.003432106221863427,10.0,9989.61501955986
58,2022-03-10,10:17:16.589338,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.3045128417894459,0.003615442916254033,0.002752637756847071,10.0,9993.943020820618
59,2022-03-10,10:45:59.798776,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.29824984037021623,0.00967449266115013,0.003181262422962766,10.0,9241.590947389603
60,2022-03-10,10:47:54.685920,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2981281271624276,0.005214119355486944,0.003194945505744409,10.0,12596.406008720398
61,2022-03-10,11:14:53.756184,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.3014678396648351,0.00607901450474178,0.0029482374308590588,10.0,3944.851269721985
62,2022-03-10,11:53:38.912063,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.29462831811949575,0.004408066287312984,0.0034699053461333305,10.0,5782.30174779892
63,2022-03-10,11:59:21.753270,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.30303210368982164,0.0036855811406524067,0.002840722438095298,10.0,4401.94119811058
64,2022-03-10,12:00:19.814520,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.3012923098325416,0.0064954855894384786,0.0029650038056329158,10.0,4345.123631954193
65,2022-03-10,12:34:29.334654,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.29996391113651977,0.00424485340846657,0.0030585809203097975,10.0,4775.571057796478
66,2022-03-10,12:41:25.187666,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2985903186926146,0.005020968065818625,0.003160329966762164,10.0,2866.2564449310303
67,2022-03-10,12:45:35.657876,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2990190946253824,0.00445373124307537,0.0031261250348178543,10.0,2773.8791587352753
68,2022-03-10,12:51:27.518514,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2969397063806033,0.004185344717253234,0.00328004313250812,10.0,3067.6863780021667
69,2022-03-10,14:04:17.202400,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.30059979373495965,0.0033619298304969378,0.0030138179898131176,10.0,5387.827384471893
70,2022-03-10,14:14:52.778517,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2997090785962089,0.0034803720032046174,0.0030778426955956326,10.0,5357.101619720459
71,2022-03-10,14:19:11.291544,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.30055209981151504,0.0057256555591837,0.0030146536894262474,10.0,5866.053601503372
72,2022-03-10,14:22:46.982358,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2976591926216222,0.003387220651834492,0.003225560644439558,10.0,5479.433875322342
73,2022-03-10,15:29:05.337101,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.30158998429874356,0.005006461243599196,0.0029423179537942097,10.0,5088.1039254665375
74,2022-03-10,15:30:31.103857,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2983546162165984,0.009659450498600657,0.0031810254529490356,10.0,4064.0975437164307
75,2022-03-10,15:35:20.431449,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.3042170218759822,0.006061217124819526,0.002766354598017517,10.0,4569.1321313381195
76,2022-03-10,15:43:18.094175,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2983001528522217,0.0039015573875131274,0.003178419192440624,10.0,5305.300601482391
77,2022-03-10,15:58:49.906443,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.2987135421828468,0.005603248540962276,0.003149521413475125,10.0,1698.770804643631
78,2022-03-10,15:59:18.046299,1.0,100000.0,12.0,10.0,0.3,0.271,2.0,3.0,0.30120610603903947,0.003193889587754786,0.002967892228019865,10.0,1812.6698529720306
