,date,time,eps,Lz,L,W,tLow,c,E,dim,lyap,std,g,reals,runtime,fname
672,2022-06-19,00:24:55.186297,1.0,100000.0,10.0,10.0,0.3,0.2715,0.0,3.0,0.33205509486570933,0.005581605403846644,0.005364176602449606,10.0,299.5488266944885,E0W10-L16-30-10x.txt
675,2022-06-19,00:29:59.403929,1.0,100000.0,10.0,10.0,0.3,0.2715,0.0,3.0,0.32732999816834746,0.007865638416574642,0.005883197031156647,10.0,304.21539783477783,E0W10-L16-30-10x.txt
682,2022-06-19,00:35:01.968732,1.0,100000.0,10.0,10.0,0.3,0.2715,0.0,3.0,0.3264848812808941,0.006736885210380201,0.0059769695869102855,10.0,302.56267619132996,E0W10-L16-30-10x.txt
685,2022-06-19,00:40:03.664943,1.0,100000.0,10.0,10.0,0.3,0.2715,0.0,3.0,0.32438414010251937,0.007111394986513342,0.006234835629729616,10.0,301.69369173049927,E0W10-L16-30-10x.txt
603,2022-06-18,23:03:13.985877,1.0,100000.0,10.0,10.0,0.3,0.2731,0.0,3.0,0.3237475153568594,0.0051072972811402,0.006328298356817688,10.0,319.47844409942627,E0W10-L16-30-10x.txt
605,2022-06-18,23:08:22.558401,1.0,100000.0,10.0,10.0,0.3,0.2731,0.0,3.0,0.3218517912572918,0.004209612025050064,0.00655627342550126,10.0,308.57057189941406,E0W10-L16-30-10x.txt
610,2022-06-18,23:13:29.597072,1.0,100000.0,10.0,10.0,0.3,0.2731,0.0,3.0,0.3301244940846183,0.007505334851221877,0.005570795927554434,10.0,307.0364692211151,E0W10-L16-30-10x.txt
614,2022-06-18,23:18:36.852883,1.0,100000.0,10.0,10.0,0.3,0.2731,0.0,3.0,0.32575380099984497,0.0036491519802503633,0.006072582114650121,10.0,307.25372219085693,E0W10-L16-30-10x.txt
619,2022-06-18,23:23:47.235212,1.0,100000.0,10.0,10.0,0.3,0.2731,0.0,3.0,0.3228025613391326,0.0047442543618453,0.006450847037963996,10.0,310.38005685806274,E0W10-L16-30-10x.txt
624,2022-06-18,23:28:55.283155,1.0,100000.0,10.0,10.0,0.3,0.2731,0.0,3.0,0.3268858442628362,0.004762587202259265,0.0059402378678314405,10.0,308.04580426216125,E0W10-L16-30-10x.txt
629,2022-06-18,23:34:03.502035,1.0,100000.0,10.0,10.0,0.3,0.2731,0.0,3.0,0.32842959604461264,0.00547303926754083,0.005766221766288367,10.0,308.2166714668274,E0W10-L16-30-10x.txt
